meter,post,treatment,reef,spat.source,home.away,position,date.checked,month.checked,number.shells,color,status,size,diff,notes
9,47,cage,butler,pellicer,away,3,8/17/19,initial,2,blue,1,17,0,
9,47,cage,butler,pellicer,away,3,8/17/19,initial,2,purple,1,4,0,
9,47,cage,butler,pellicer,away,3,8/17/19,initial,2,red,1,14,0,
5,51,cage,butler,pellicer,away,3,8/17/19,initial,2,blue,1,12,0,
5,51,cage,butler,pellicer,away,3,8/17/19,initial,2,purple,1,12,0,
5,51,cage,butler,pellicer,away,3,8/17/19,initial,2,red,1,18,0,
13,52,cage,butler,pellicer,away,3,8/17/19,initial,2,blue,1,10,0,
13,52,cage,butler,pellicer,away,3,8/17/19,initial,2,purple,1,11,0,
13,52,cage,butler,pellicer,away,3,8/17/19,initial,2,red,1,7,0,
17,58,cage,pellicer,pellicer,home,3,8/17/19,initial,2,blue,1,7,0,
17,58,cage,pellicer,pellicer,home,3,8/17/19,initial,2,purple,1,5,0,
17,58,cage,pellicer,pellicer,home,3,8/17/19,initial,2,red,1,11,0,
18,59,control,pellicer,pellicer,home,3,8/17/19,initial,2,blue,1,4,0,
18,59,control,pellicer,pellicer,home,3,8/17/19,initial,2,purple,1,14,0,
18,59,control,pellicer,pellicer,home,3,8/17/19,initial,2,red,1,16,0,
16,62,cage,pellicer,butler,away,3,8/17/19,initial,2,blue,1,13,0,
16,62,cage,pellicer,butler,away,3,8/17/19,initial,2,purple,1,7,0,
16,62,cage,pellicer,butler,away,3,8/17/19,initial,2,red,1,13,0,
16,66,cage,butler,butler,home,3,8/17/19,initial,2,blue,1,5,0,
16,66,cage,butler,butler,home,3,8/17/19,initial,2,purple,1,12,0,
16,66,cage,butler,butler,home,3,8/17/19,initial,2,red,1,9,0,
20,69,cage,pellicer,butler,away,3,8/17/19,initial,3,blue,1,14,0,
20,69,cage,pellicer,butler,away,3,8/17/19,initial,3,purple,1,12,0,
20,69,cage,pellicer,butler,away,3,8/17/19,initial,3,red,1,5,0,
19,70,control,pellicer,butler,away,3,8/17/19,initial,2,blue,1,10,0,
19,70,control,pellicer,butler,away,3,8/17/19,initial,2,purple,1,8,0,
19,70,control,pellicer,butler,away,3,8/17/19,initial,2,red,1,9,0,
9,71,cage,pellicer,butler,away,3,8/17/19,initial,3,blue,1,5,0,
9,71,cage,pellicer,butler,away,3,8/17/19,initial,3,purple,1,13,0,
9,71,cage,pellicer,butler,away,3,8/17/19,initial,3,red,1,9,0,
11,73,control,pellicer,butler,away,3,8/17/19,initial,1,blue,1,7,0,
11,73,control,pellicer,butler,away,3,8/17/19,initial,1,purple,1,5,0,
11,73,control,pellicer,butler,away,3,8/17/19,initial,1,red,1,7,0,
13,80,cage,pellicer,butler,away,3,8/17/19,initial,2,blue,1,8,0,
13,80,cage,pellicer,butler,away,3,8/17/19,initial,2,purple,1,12,0,
13,80,cage,pellicer,butler,away,3,8/17/19,initial,2,red,1,7,0,
15,82,control,butler,butler,home,3,8/17/19,initial,2,blue,1,15,0,
15,82,control,butler,butler,home,3,8/17/19,initial,2,purple,1,9,0,
15,82,control,butler,butler,home,3,8/17/19,initial,2,red,1,17,0,
4,83,control,pellicer,butler,away,3,8/17/19,initial,3,blue,1,14,0,
4,83,control,pellicer,butler,away,3,8/17/19,initial,3,purple,1,11,0,
4,83,control,pellicer,butler,away,3,8/17/19,initial,3,red,1,17,0,
7,84,control,butler,butler,home,3,8/17/19,initial,3,blue,1,10,0,
7,84,control,butler,butler,home,3,8/17/19,initial,3,purple,1,5,0,
7,84,control,butler,butler,home,3,8/17/19,initial,3,red,1,10,0,
8,87,control,butler,butler,home,3,8/17/19,initial,1,blue,1,4,0,
8,87,control,butler,butler,home,3,8/17/19,initial,1,purple,1,4,0,
8,87,control,butler,butler,home,3,8/17/19,initial,1,red,1,9,0,
10,89,control,butler,butler,home,3,8/17/19,initial,2,blue,1,13,0,
10,89,control,butler,butler,home,3,8/17/19,initial,2,purple,1,12,0,
10,89,control,butler,butler,home,3,8/17/19,initial,2,red,1,10,0,
2,90,control,pellicer,butler,away,3,8/17/19,initial,3,blue,1,12,0,
2,90,control,pellicer,butler,away,3,8/17/19,initial,3,purple,1,8,0,
2,90,control,pellicer,butler,away,3,8/17/19,initial,3,red,1,8,0,
18,92,cage,butler,butler,home,3,8/17/19,initial,3,blue,1,12,0,
18,92,cage,butler,butler,home,3,8/17/19,initial,3,purple,1,13,0,
18,92,cage,butler,butler,home,3,8/17/19,initial,3,red,1,6,0,
12,99,cage,butler,butler,home,3,8/17/19,initial,3,blue,1,5,0,
12,99,cage,butler,butler,home,3,8/17/19,initial,3,purple,1,12,0,
12,99,cage,butler,butler,home,3,8/17/19,initial,3,red,1,17,0,
17,100,control,butler,butler,home,3,8/17/19,initial,3,blue,1,19,0,
17,100,control,butler,butler,home,3,8/17/19,initial,3,purple,1,9,0,
17,100,control,butler,butler,home,3,8/17/19,initial,3,red,1,14,0,
14,105,cage,butler,butler,home,3,8/17/19,initial,2,blue,1,15,0,
14,105,cage,butler,butler,home,3,8/17/19,initial,2,purple,1,12,0,
14,105,cage,butler,butler,home,3,8/17/19,initial,2,red,1,15,0,
1,107,control,pellicer,butler,away,3,8/17/19,initial,1,blue,1,5,0,
1,107,control,pellicer,butler,away,3,8/17/19,initial,1,purple,1,18,0,
1,107,control,pellicer,butler,away,3,8/17/19,initial,1,red,1,8,0,
