DateTime,High Range,Temp,Specific Conductance,Salinity,Site
12/5/19,31454.7,15.99,55700.6,36.9649,butler
12/5/19,31436.3,15.94,55730.9,36.9875,butler
12/5/19,31373.6,15.87,55708.2,36.9706,butler
12/5/19,31347.9,15.8,55750.9,37.0025,butler
12/5/19,31263.8,15.68,55753.5,37.0045,butler
12/5/19,31176.5,15.51,55813.8,37.0496,butler
12/5/19,31111.4,15.48,55735.6,36.991,butler
12/5/19,31068.2,15.48,55658.3,36.9331,butler
12/5/19,31043,15.52,55562.3,36.8613,butler
12/5/19,31000,15.55,55447.5,36.7754,butler
12/5/19,30967.9,15.52,55427.9,36.7607,butler
12/5/19,30950,15.48,55446.2,36.7745,butler
12/5/19,30932.2,15.39,55528.1,36.8357,butler
12/5/19,30967.9,15.39,55591.6,36.8833,butler
12/5/19,31663.4,16.84,54994.2,36.4366,butler
12/5/19,31663.4,16.67,55203.5,36.5929,butler
12/5/19,31708.5,16.7,55244.4,36.6235,butler
12/5/19,31663.4,16.68,55190.5,36.5832,butler
12/5/19,31652.1,16.7,55145.9,36.5499,butler
12/5/19,31644.6,16.83,54972.5,36.4203,butler
12/5/19,31663.4,16.89,54931,36.3893,butler
12/5/19,31652.1,16.86,54948,36.402,butler
12/5/19,31573.6,16.6,55131.8,36.5394,butler
12/5/19,31495.5,16.39,55255.7,36.632,butler
12/5/19,31381,16.29,55179.5,36.575,butler
12/5/19,31406.7,16.32,55186.9,36.5805,butler
12/5/19,31260.1,16.15,55141,36.5462,butler
12/5/19,31245.5,16.13,55140,36.5455,butler
12/5/19,31107.8,16.06,54984.6,36.4294,butler
12/5/19,31122.2,16.1,54959.9,36.4109,butler
12/5/19,31100.6,16.07,54958.9,36.4102,butler
12/5/19,31021.5,15.99,54918.7,36.3802,butler
12/5/19,31014.4,15.96,54943.2,36.3985,butler
12/5/19,31014.4,15.93,54980.3,36.4261,butler
12/5/19,31039.4,15.93,55024.1,36.4589,butler
12/5/19,31057.4,15.99,54980.8,36.4265,butler
12/5/19,31007.2,15.92,54979.1,36.4252,butler
12/6/19,31462.1,16.09,55559,36.8588,butler
12/6/19,31727.3,16.63,55348.3,36.7012,butler
12/6/19,31753.7,16.67,55344.3,36.6982,butler
12/6/19,31573.6,16.44,55316.1,36.6771,butler
12/6/19,31577.3,16.38,55396.9,36.7376,butler
12/6/19,31532.6,16.34,55368.3,36.7162,butler
12/6/19,31469.5,16.26,55357.4,36.708,butler
12/6/19,31462.1,16.19,55431.5,36.7635,butler
12/6/19,31425.2,16.15,55416.5,36.7522,butler
12/6/19,31392,16.06,55470.6,36.7927,butler
12/6/19,31289.3,15.92,55465,36.7885,butler
12/6/19,31220.1,15.84,55443.1,36.7721,butler
12/6/19,31158.4,15.76,55434.2,36.7655,butler
12/6/19,31064.6,15.74,55292.9,36.6598,butler
12/6/19,31025.1,15.7,55272.8,36.6448,butler
12/6/19,31014.4,15.7,55253.5,36.6303,butler
12/6/19,30975,15.71,55170.8,36.5685,butler
12/6/19,30957.2,15.71,55138.9,36.5447,butler
12/6/19,30857.6,15.67,55012,36.4499,butler
12/6/19,30882.5,15.64,55093.5,36.5107,butler
12/6/19,30875.4,15.64,55080.6,36.5011,butler
12/6/19,30857.6,15.55,55161.6,36.5616,butler
12/6/19,32113.2,17.92,54422.8,36.0102,butler
12/6/19,31932.3,17.53,54584.5,36.1307,butler
12/6/19,31947.6,17.58,54549.9,36.1049,butler
12/6/19,31920.9,17.5,54600.7,36.1428,butler
12/6/19,31940,17.53,54596.7,36.1398,butler
12/6/19,31947.6,17.66,54452.7,36.0324,butler
12/6/19,31974.5,17.73,54414,36.0035,butler
12/6/19,31966.8,17.74,54388.6,35.9846,butler
12/6/19,31947.6,17.63,54487.9,36.0586,butler
12/6/19,31859.9,17.42,54591.5,36.1359,butler
12/6/19,31848.4,17.42,54571.6,36.1211,butler
12/6/19,31821.9,17.34,54622.8,36.1593,butler
12/6/19,31406.7,16.8,54564.8,36.116,butler
12/6/19,31521.5,16.97,54555.6,36.1092,butler
12/6/19,31311.3,16.71,54508.8,36.0742,butler
12/6/19,31314.9,16.74,54478.1,36.0514,butler
12/6/19,31183.7,16.67,54335.6,35.9451,butler
12/6/19,31183.7,16.64,54371.8,35.9721,butler
12/6/19,31201.9,16.64,54403.1,35.9955,butler
12/6/19,31220.1,16.6,54483.3,36.0552,butler
12/6/19,31252.8,16.61,54527.6,36.0883,butler
12/7/19,26494.4,16.7,46153.2,29.9315,butler
12/7/19,32078.4,17.79,54504.6,36.0712,butler
12/7/19,32140.3,17.82,54573.1,36.1222,butler
12/7/19,32132.6,17.87,54499.7,36.0675,butler
12/7/19,32024.4,17.71,54508.3,36.0739,butler
12/7/19,31852.2,17.37,54625.2,36.1611,butler
12/7/19,31886.5,17.37,54683.5,36.2046,butler
12/7/19,31943.8,17.41,54732.5,36.2412,butler
12/7/19,31913.2,17.41,54680,36.202,butler
12/7/19,31840.8,17.28,54713.6,36.227,butler
12/7/19,31689.6,17.11,54660.6,36.1875,butler
12/7/19,31644.6,17,54716.9,36.2295,butler
12/7/19,31584.8,16.93,54698.9,36.2161,butler
12/7/19,31514,16.84,54686.3,36.2067,butler
12/7/19,31469.5,16.82,54633.5,36.1673,butler
12/7/19,31425.2,16.77,54617.6,36.1554,butler
12/7/19,31366.3,16.73,54564.2,36.1155,butler
12/7/19,31296.6,16.7,54479.7,36.0525,butler
12/7/19,31252.8,16.66,54452.2,36.0321,butler
12/7/19,31216.4,16.63,54425.3,36.012,butler
12/7/19,31183.7,16.58,54429.2,36.0149,butler
12/7/19,31183.7,16.58,54428.9,36.0147,butler
12/7/19,31176.5,16.57,54428.3,36.0143,butler
12/7/19,31183.7,16.54,54477.2,36.0507,butler
12/7/19,31209.2,16.51,54558,36.111,butler
12/7/19,32549.4,19.22,53590.4,35.3904,butler
12/7/19,32513.6,18.93,53868.1,35.5969,butler
12/7/19,32398.6,18.64,54016.8,35.7077,butler
12/7/19,32304.2,18.5,54024.1,35.7131,butler
12/7/19,32214.2,18.28,54133.2,35.7944,butler
12/7/19,32194.7,18.3,54076.6,35.7522,butler
12/7/19,32202.5,18.37,54006.7,35.7001,butler
12/7/19,32210.3,18.41,53972.2,35.6745,butler
12/7/19,32167.5,18.22,54124.8,35.7881,butler
12/7/19,32140.3,18.12,54197.5,35.8423,butler
12/7/19,32109.3,18.11,54157,35.8121,butler
12/7/19,31982.1,17.86,54240,35.8739,butler
12/7/19,31940,17.83,54204.3,35.8473,butler
12/7/19,31829.4,17.71,54160,35.8143,butler
12/7/19,31784,17.67,54130.5,35.7923,butler
12/7/19,31738.6,17.67,54053.1,35.7347,butler
12/7/19,31821.9,17.82,54015.2,35.7065,butler
12/7/19,31510.3,17.42,53962.6,35.6673,butler
12/7/19,31502.9,17.42,53949.7,35.6577,butler
12/7/19,31484.3,17.42,53917.7,35.6339,butler
12/7/19,31536.3,17.41,54018.1,35.7086,butler
12/7/19,31136.7,17.41,53335.7,35.2012,butler
12/7/19,31599.7,17.41,54125.7,35.7887,butler
12/7/19,31554.9,17.41,54048.9,35.7316,butler
12/8/19,32132.6,17.89,54447.5,36.0285,butler
12/8/19,32581.4,18.56,54401.4,35.9942,butler
12/8/19,32645.5,18.67,54377.5,35.9764,butler
12/8/19,32625.4,18.66,54355.6,35.9601,butler
12/8/19,32561.4,18.51,54426.5,36.0129,butler
12/8/19,32418.4,18.38,54341.8,35.9498,butler
12/8/19,32276.7,18.18,54341.9,35.9499,butler
12/8/19,32175.3,18.01,54373.8,35.9736,butler
12/8/19,32128.7,17.92,54402.5,35.995,butler
12/8/19,32202.5,17.99,54443,36.0252,butler
12/8/19,32194.7,18.01,54405.6,35.9973,butler
12/8/19,32113.2,17.9,54399.4,35.9927,butler
12/8/19,32047.5,17.85,54347.9,35.9543,butler
12/8/19,31966.8,17.73,54354.8,35.9594,butler
12/8/19,31940,17.74,54297.1,35.9164,butler
12/8/19,31920.9,17.71,54300.3,35.9188,butler
12/8/19,31867.5,17.64,54293.3,35.9136,butler
12/8/19,31867.5,17.63,54305,35.9223,butler
12/8/19,31886.5,17.64,54325,35.9372,butler
12/8/19,31652.1,17.5,54093.9,35.765,butler
12/8/19,31644.6,17.47,54116.7,35.7821,butler
12/8/19,31625.9,17.45,54108.5,35.776,butler
12/8/19,31607.2,17.47,54052.4,35.7342,butler
12/8/19,31625.9,17.5,54048,35.7309,butler
12/8/19,31633.4,17.51,54048.6,35.7313,butler
12/8/19,31607.2,17.54,53967.8,35.6712,butler
12/8/19,31659.6,17.56,54032.8,35.7195,butler
12/8/19,31685.9,17.6,54029.4,35.717,butler
12/8/19,31704.7,17.63,54025.2,35.7139,butler
12/8/19,31749.9,17.66,54065.8,35.7442,butler
12/8/19,31776.4,17.7,54062.7,35.7419,butler
12/8/19,31810.5,17.77,54036.8,35.7225,butler
12/8/19,31875.1,17.89,54002.9,35.6973,butler
12/8/19,32957.8,20.12,53195.3,35.0969,butler
12/8/19,32831.2,19.54,53652.5,35.4366,butler
12/8/19,32746.1,19.33,53755.7,35.5133,butler
12/8/19,32758.3,19.28,53833.3,35.5711,butler
12/8/19,32758.3,19.22,53902.7,35.6228,butler
12/8/19,32746.1,19.2,53905.7,35.6249,butler
12/8/19,32726,19.18,53895.6,35.6175,butler
12/8/19,32681.6,19.09,53927.1,35.6409,butler
12/8/19,32601.4,19.01,53888,35.6118,butler
12/8/19,32585.4,18.95,53931.4,35.6441,butler
12/8/19,32525.5,18.95,53832.2,35.5703,butler
12/8/19,32481.8,18.93,53783.1,35.5337,butler
12/8/19,32406.5,18.9,53693.3,35.467,butler
12/8/19,32414.4,18.75,53881.2,35.6067,butler
12/8/19,32414.4,18.76,53869.2,35.5978,butler
12/8/19,32454,18.85,53829.3,35.5681,butler
12/8/19,32202.5,18.47,53856.4,35.5883,butler
12/8/19,32422.3,18.79,53846.3,35.5807,butler
