meter,post,treatment,reef,spat.source,home.away,position,date.checked,month.checked,number.shells,color,status,size,missing.cage,notes
15,22,control,pellicer,pellicer,home,3,8/17/19,initial,3,purple,1,8,,
15,22,control,pellicer,pellicer,home,3,8/17/19,initial,3,red,1,5,,
10,24,control,pellicer,pellicer,home,3,8/17/19,initial,1,blue,1,9,,
10,24,control,pellicer,pellicer,home,3,8/17/19,initial,1,purple,1,9,,
10,24,control,pellicer,pellicer,home,3,8/17/19,initial,1,red,1,5,,
8,25,control,pellicer,pellicer,home,3,8/17/19,initial,1,purple,1,11,,
8,25,control,pellicer,pellicer,home,3,8/17/19,initial,1,red,1,15,,
7,26,cage,pellicer,pellicer,home,3,8/17/19,initial,3,blue,1,13,,
7,26,cage,pellicer,pellicer,home,3,8/17/19,initial,3,purple,1,11,,
7,26,cage,pellicer,pellicer,home,3,8/17/19,initial,3,red,1,7,,
6,36,cage,butler,pellicer,away,3,8/17/19,initial,2,blue,1,14,,
6,36,cage,butler,pellicer,away,3,8/17/19,initial,2,purple,1,12,,
6,36,cage,butler,pellicer,away,3,8/17/19,initial,2,red,1,9,,
2,37,control,butler,pellicer,away,3,8/17/19,initial,2,blue,1,11,,
2,37,control,butler,pellicer,away,3,8/17/19,initial,2,purple,1,6,,
2,37,control,butler,pellicer,away,3,8/17/19,initial,2,red,1,13,,
19,38,cage,butler,pellicer,away,3,8/17/19,initial,2,blue,1,8,,
19,38,cage,butler,pellicer,away,3,8/17/19,initial,2,purple,1,8,,
19,38,cage,butler,pellicer,away,3,8/17/19,initial,2,red,1,13,,
4,41,control,butler,pellicer,away,3,8/17/19,initial,2,blue,1,7,,
4,41,control,butler,pellicer,away,3,8/17/19,initial,2,purple,1,8,,
4,41,control,butler,pellicer,away,3,8/17/19,initial,2,red,1,6,,
9,47,cage,butler,pellicer,away,3,8/17/19,initial,2,blue,1,17,,
9,47,cage,butler,pellicer,away,3,8/17/19,initial,2,purple,1,4,,
9,47,cage,butler,pellicer,away,3,8/17/19,initial,2,red,1,14,,
5,51,cage,butler,pellicer,away,3,8/17/19,initial,2,blue,1,12,,
5,51,cage,butler,pellicer,away,3,8/17/19,initial,2,purple,1,12,,
5,51,cage,butler,pellicer,away,3,8/17/19,initial,2,red,1,18,,
13,52,cage,butler,pellicer,away,3,8/17/19,initial,2,blue,1,10,,
13,52,cage,butler,pellicer,away,3,8/17/19,initial,2,purple,1,11,,
13,52,cage,butler,pellicer,away,3,8/17/19,initial,2,red,1,7,,
17,58,cage,pellicer,pellicer,home,3,8/17/19,initial,2,blue,1,7,,
17,58,cage,pellicer,pellicer,home,3,8/17/19,initial,2,purple,1,5,,
17,58,cage,pellicer,pellicer,home,3,8/17/19,initial,2,red,1,11,,
18,59,control,pellicer,pellicer,home,3,8/17/19,initial,2,blue,1,4,,
18,59,control,pellicer,pellicer,home,3,8/17/19,initial,2,purple,1,14,,
18,59,control,pellicer,pellicer,home,3,8/17/19,initial,2,red,1,16,,
16,62,cage,pellicer,butler,away,3,8/17/19,initial,2,blue,1,13,,
16,62,cage,pellicer,butler,away,3,8/17/19,initial,2,purple,1,7,,
16,62,cage,pellicer,butler,away,3,8/17/19,initial,2,red,1,13,,
16,66,cage,butler,butler,home,3,8/17/19,initial,2,blue,1,5,,
16,66,cage,butler,butler,home,3,8/17/19,initial,2,purple,1,12,,
16,66,cage,butler,butler,home,3,8/17/19,initial,2,red,1,9,,
20,69,cage,pellicer,butler,away,3,8/17/19,initial,3,blue,1,14,,
20,69,cage,pellicer,butler,away,3,8/17/19,initial,3,purple,1,12,,
20,69,cage,pellicer,butler,away,3,8/17/19,initial,3,red,1,5,,
19,70,control,pellicer,butler,away,3,8/17/19,initial,2,blue,1,10,,
19,70,control,pellicer,butler,away,3,8/17/19,initial,2,purple,1,8,,
