reef.id,date,nerr.zone,nsf.site,quad.no,organism.type,size,sex,notes
BU2,4/21/19,butler,moses,10,mudcrab,24,m,
BU2,4/21/19,butler,moses,10,mudcrab,27,gf,
BU2,4/21/19,butler,moses,10,mudcrab,21,m,
BU2,4/21/19,butler,moses,10,mudcrab,18,m,
BU2,4/21/19,butler,moses,10,mudcrab,22,gf,
BU2,4/21/19,butler,moses,10,mudcrab,40,m,
BU2,4/21/19,butler,moses,12.5,mudcrab,24,f,
BU2,4/21/19,butler,moses,12.5,mudcrab,19,m,
BU2,4/21/19,butler,moses,12.5,mudcrab,27,m,
BU2,4/21/19,butler,moses,12.5,mudcrab,34,m,
BU2,4/21/19,butler,moses,17,mudcrab,18,f,
BU2,4/21/19,butler,moses,17,mudcrab,19,f,
BU2,4/21/19,butler,moses,17,mudcrab,15,m,
BU2,4/21/19,butler,moses,17,mudcrab,24,m,
BU2,4/21/19,butler,moses,17,mudcrab,36,m,
BUNSF,21-Apr-19,butler,moses,4,mudcrab,20,f,
BUNSF,21-Apr-19,butler,moses,4,mudcrab,26,m,
BUNSF,21-Apr-19,butler,moses,4,mudcrab,31,m,
BUNSF,21-Apr-19,butler,moses,4,mudcrab,25,f,
BUNSF,21-Apr-19,butler,moses,4,mudcrab,21,m,
BUNSF,21-Apr-19,butler,moses,4,mudcrab,20,gf,
BUNSF,21-Apr-19,butler,moses,4,mudcrab,26,m,
BUNSF,21-Apr-19,butler,moses,8,mudcrab,22,m,
BUNSF,21-Apr-19,butler,moses,8,mudcrab,22,gf,
BUNSF,21-Apr-19,butler,moses,8,mudcrab,20,gf,
BUNSF,21-Apr-19,butler,moses,8,mudcrab,31,m,
BUNSF,21-Apr-19,butler,moses,8,mudcrab,28,m,
BUNSF,21-Apr-19,butler,moses,8,mudcrab,25,gf,
BUNSF,21-Apr-19,butler,moses,8,mudcrab,22,gf,
BUNSF,21-Apr-19,butler,moses,8,mudcrab,28,gf,
BUNSF,21-Apr-19,butler,moses,12,mudcrab,21,gf,
BUNSF,21-Apr-19,butler,moses,12,mudcrab,35,m,
BUNSF,21-Apr-19,butler,moses,12,mudcrab,27,m,
BUNSF,21-Apr-19,butler,moses,12,mudcrab,18,f,
BUNSF,21-Apr-19,butler,moses,12,mudcrab,24,gf,
BUNSF,21-Apr-19,butler,moses,12,mudcrab,31,m,
BUNSF,21-Apr-19,butler,moses,12,mudcrab,22,m,
BUNSF,21-Apr-19,butler,moses,16,mudcrab,34,m,
BUNSF,21-Apr-19,butler,moses,16,mudcrab,29,gf,
BUNSF,21-Apr-19,butler,moses,16,mudcrab,32,m,
BUNSF,21-Apr-19,butler,moses,16,mudcrab,25,f,
BUNSF,21-Apr-19,butler,moses,16,mudcrab,22,gf,
BUNSF,21-Apr-19,butler,moses,16,mudcrab,23,m,
BUNSF,21-Apr-19,butler,moses,16,mudcrab,27,m,
BUNSF,21-Apr-19,butler,moses,16,mudcrab,28,gf,
BUNSF,21-Apr-19,butler,moses,20,mudcrab,26,m,
BUNSF,21-Apr-19,butler,moses,20,mudcrab,20,f,
BUNSF,21-Apr-19,butler,moses,20,mudcrab,20,m,
BUNSF,21-Apr-19,butler,moses,20,mudcrab,19,f,
BUNSF,21-Apr-19,butler,moses,20,mudcrab,37,m,
BUNSF,21-Apr-19,butler,moses,20,mudcrab,20,gf,
BUNSF,21-Apr-19,butler,moses,20,mudcrab,20,m,
BUNSF,21-Apr-19,butler,moses,20,mudcrab,17,gf,
BUNSF,21-Apr-19,butler,moses,20,mudcrab,24,m,
BUNSF,21-Apr-19,butler,moses,24,mudcrab,26,gf,
BUNSF,21-Apr-19,butler,moses,24,mudcrab,40,m,
BUNSF,21-Apr-19,butler,moses,24,mudcrab,33,m,
BUNSF,21-Apr-19,butler,moses,24,mudcrab,30,m,
BUNSF,21-Apr-19,butler,moses,24,mudcrab,24,m,
BUNSF,21-Apr-19,butler,moses,24,mudcrab,21,f,
BUNSF,21-Apr-19,butler,moses,24,mudcrab,22,m,
BUNSF,21-Apr-19,butler,moses,24,mudcrab,23,m,
SRN1,4/22/19,salt.non,none,4.5,mudcrab,18,NA,4 mudcrabs lost (15-25 range)
SRN1,4/22/19,salt.non,none,4.5,mudcrab,22,m,
SRN1,4/22/19,salt.non,none,4.5,mudcrab,35,gf,
SRN1,4/22/19,salt.non,none,4.5,mudcrab,38,gf,
SRN1,4/22/19,salt.non,none,4.5,mudcrab,36,f,
SRN1,4/22/19,salt.non,none,4.5,mudcrab,17,f,
SRN1,4/22/19,salt.non,none,9,mudcrab,28,m,2 mudcrabs lost (20-25)
SRN1,4/22/19,salt.non,none,9,mudcrab,25,gf,
SRN1,4/22/19,salt.non,none,9,mudcrab,49,m,
SRN1,4/22/19,salt.non,none,13.5,mudcrab,23,f,
SRN1,4/22/19,salt.non,none,13.5,mudcrab,27,m,
SRN1,4/22/19,salt.non,none,13.5,mudcrab,19,m,
SRN1,4/22/19,salt.non,none,13.5,mudcrab,22,f,
SRN1,4/22/19,salt.non,none,13.5,mudcrab,25,m,
SRN1,4/22/19,salt.non,none,18,mudcrab,23,gf,1 mudcrab escaped (~20)
SRN1,4/22/19,salt.non,none,18,mudcrab,49,m,
